date,open,close,high,low,volume,money
2007/1/15,1881.47,1986.54,1986.54,1881.47,3881263200,23710426000
2007/1/16,1991.69,2055.02,2055.02,1991.04,4807441800,30689048908
2007/1/17,2064.29,2035.65,2093.89,1992.54,5883288700,38375191550
2007/1/18,2025.85,2085.4,2085.4,2002.66,5094946000,32208210284
2007/1/19,2097.51,2159.64,2159.65,2097.51,5792516800,36951910780
2007/1/22,2183.44,2258.99,2259.03,2183.44,6358920100,40928365323
2007/1/23,2267.45,2261.78,2268.69,2175.6,6108017600,39600092963
2007/1/24,2260.71,2283.7,2295.26,2236.57,5104122200,33928713068
2007/1/25,2271.52,2174.24,2271.52,2172.98,4817566000,32172915840
2007/1/26,2143.99,2186.27,2196.28,2061.66,4475940500,28778328607
2007/1/29,2201.59,2260.6,2261.24,2201.59,4564666200,30788164443
2007/1/30,2271.47,2255.94,2280.72,2230.65,5024768700,33163100591
2007/1/31,2251.32,2142.89,2258.7,2129.79,4904692400,32828621831
2007/2/1,2120.01,2165.41,2176.2,2080.16,4233884500,27578619714
2007/2/2,2170.03,2127.1,2190.96,2124.3,3861061000,25752753793
2007/2/5,2122.37,2152.25,2166.09,2118.87,3013411000,20119479185
2007/2/6,2158.5,2198.24,2198.63,2148.1,3087618500,20714662878
2007/2/7,2209.65,2237.94,2237.94,2208.38,3832705000,26101531474
2007/2/8,2245.08,2278.45,2282.19,2233.52,3905389700,26710676361
2007/2/9,2282.63,2287.38,2300.81,2263.61,3716182200,24939688424
2007/2/12,2291.66,2341.07,2341.07,2291.66,3618835300,25013026001
2007/2/13,2351.65,2384.16,2384.16,2338.57,3816378300,26801027681
2007/2/14,2386.84,2435.96,2445.76,2380.74,4406558200,31223510543
2007/2/15,2451.44,2512.4,2512.55,2451.32,5151645900,37101618593
2007/2/16,2528.84,2541.41,2581.56,2519.23,5405675100,39956571058
2007/2/26,2557.25,2642.11,2642.11,2532.1,4896308400,36442929080
2007/2/27,2654.43,2405.57,2673.53,2402.72,7240425400,52918857566
2007/2/28,2370.95,2513.53,2520,2369.05,5302502900,37869581290
2007/3/1,2526.15,2459.51,2526.16,2417.84,5882813900,41587572191
2007/3/2,2458.26,2503.68,2515.02,2452.97,4723810400,33901995283
2007/3/5,2508.39,2511.92,2548.25,2419.29,4953597800,36388108851
2007/3/6,2501.29,2516,2524.63,2467.68,3332166600,24808787734
2007/3/7,2525.53,2580.6,2580.6,2525.47,3723070900,28949689587
2007/3/8,2587.75,2634.88,2634.88,2562.5,4307706500,33388959788
2007/3/9,2637.6,2638.05,2662.33,2590.44,4803170500,37390032187
2007/3/12,2639.89,2696.5,2696.87,2610.4,5136709100,39729102503
2007/3/13,2701.5,2727.45,2740.46,2694.38,5359616200,41804787634
2007/3/14,2704.45,2708.69,2740.53,2622.76,5658027100,43846863925
2007/3/15,2703.93,2760.84,2760.84,2703.57,5100980600,40574627499
2007/3/16,2769.15,2710.86,2777.41,2671.95,5563313100,45080917910
2007/3/19,2623.74,2751.48,2760.09,2609.31,4764988100,38729127772
2007/3/20,2761.01,2810.71,2811.15,2758.99,4355898400,36502668162
2007/3/21,2821.44,2859.01,2859.03,2801.93,4827675600,40605909989
2007/3/22,2869.75,2861.15,2899.35,2852.67,5600569800,47352036212
2007/3/23,2862.63,2898,2901.78,2820.99,5227235500,44346584943
2007/3/26,2915.05,2989.05,2989.05,2915.05,5673677500,48797439034
2007/3/27,2995.46,3039.53,3040.35,2979.13,5695780000,50436251179
2007/3/28,3048.5,3004.3,3060.19,2873.38,6700933900,59168941748
2007/3/29,3005.06,2894.78,3008.22,2894.74,5599479900,48606097258
2007/3/30,2878.24,2926.06,2935.24,2859.73,3596241700,31503658398
2007/4/2,2935.21,2993.63,2993.63,2932.64,3767358700,34371206540
2007/4/3,3004.9,3042.46,3042.46,2993.19,4676698300,43272502515
2007/4/4,3049.92,3078.9,3084.62,3032.49,5312635300,49456797744
2007/4/5,3076.76,3133.14,3137.02,3063.42,5280165700,48998208124
2007/4/6,3110.95,3182.8,3189.11,3097.06,5625205400,53093793741
2007/4/9,3201.15,3240.3,3243.88,3201.15,6214375200,59855679384
2007/4/10,3253.67,3261.53,3261.53,3151.49,6355660800,61706182026
2007/4/11,3267.61,3309.74,3309.98,3231.31,6772377200,66771673111
2007/4/12,3316.2,3387.41,3387.41,3302.36,6470744600,64857399450
2007/4/13,3393.96,3358.63,3419.99,3341.27,6753507300,70464209187
2007/4/16,3362.73,3458.07,3458.07,3362.73,6039685800,62079349301
2007/4/17,3482.36,3558.22,3558.22,3420.31,7794423700,80497402807
2007/4/18,3572.7,3649.71,3652.72,3548.36,7161400000,76799598093
2007/4/19,3642.85,3435.78,3642.85,3356.02,7801430100,81866685727
2007/4/20,3456.74,3614.39,3624.82,3456.74,6225114500,66598043638
2007/4/23,3667.55,3782.26,3784.08,3667.55,7372002800,82859479027
2007/4/24,3813.53,3821.42,3861.57,3753.13,8181431900,93868619322
2007/4/25,3802.69,3805.05,3822.41,3712.04,6438927200,73367705321
2007/4/26,3814.82,3853.27,3854.05,3788.87,5543334900,64185466504
2007/4/27,3861.05,3845.81,3871.4,3801.55,5829740200,67853343646
2007/4/30,3831.55,3903.69,3909.04,3809.97,6557115000,76728359304
2007/5/8,3990.71,4091.13,4093.01,3972.03,7312397300,88475909333
2007/5/9,4107.55,4099.13,4125.42,3918.74,8305249900,1.01593E+11
2007/5/10,4103.57,4128.08,4146.59,4062.48,6851392100,83048637239
2007/5/11,4101.65,4109.4,4130.9,4028.36,6024275200,73415159786
2007/5/14,4051.84,4133.83,4164.81,4014.57,5875138100,74274346670
2007/5/15,4140.33,3998.78,4161.52,3989.36,6400179400,79732368766
2007/5/16,3981.82,4118.14,4118.24,3929.51,5555939400,69165055418
2007/5/17,4146.32,4221.91,4235.05,4135.37,6270870200,80387926794
2007/5/18,4219.61,4235.19,4261.46,4188.32,5920970000,76234234377
2007/5/21,4089.85,4364.16,4364.16,4076.52,7162174500,92849503948
2007/5/22,4402.93,4459.81,4484.53,4402.76,8065068700,1.05982E+11
2007/5/23,4486.02,4582.31,4582.45,4463.27,7429000000,99319025813
2007/5/24,4606.15,4571.71,4625.92,4460.93,8313528100,1.11907E+11
2007/5/25,4559.43,4649.86,4665.98,4525.29,7120866700,98999673715
