日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),PB市值加权,PB 分位点,PB 80%分位点,PB 50%分位点,PB 20%分位点
2023-01-06,6012.82,7077.57,12313333795529.254,10629924615233,1.7243,0.0597,3.5618,2.4789,1.9722
2023-01-05,6010.46,7074.8,12317513109871.693,10632851511858,1.7249,0.0597,3.5618,2.4789,1.9728
2023-01-04,5952.45,7006.52,12206659638851.08,10537073996951,1.7094,0.0553,3.5618,2.4792,1.9729
2023-01-03,5955.9,7010.57,12211554467174.32,10540479067563,1.71,0.0554,3.5618,2.4794,1.9735
2022-12-30,5864.47,6902.95,12023504574372.232,10372370251346,1.6837,0.0479,3.5618,2.4795,1.9735
2022-12-29,5857.4,6894.64,12005018821222.893,10355018146629,1.6811,0.0464,3.5635,2.4796,1.9735
2022-12-28,5862.1,6899.51,12023592467484.953,10366653601843,1.6835,0.0474,3.5635,2.4796,1.9736
2022-12-27,5885.66,6927.24,12057078075693.23,10400099719989,1.689,0.0497,3.5635,2.4797,1.9738
2022-12-26,5843.26,6877.33,11967767246080.941,10313677054886,1.6772,0.0443,3.5635,2.4799,1.9739
2022-12-23,5763.35,6783.28,11817833935424.11,10182347075533,1.6561,0.0371,3.5635,2.4801,1.974
2022-12-22,5779.06,6801.56,11854939121841.139,10209934427650,1.6613,0.0389,3.5651,2.481,1.974
2022-12-21,5845.84,6880.15,11992945565397.559,10322958178673,1.6806,0.0451,3.5651,2.4819,1.9741
2022-12-20,5878.03,6918.05,12061945046812.912,10374619401318,1.6903,0.049,3.5651,2.4836,1.9742
2022-12-19,5936.48,6986.83,12176724528682.643,10474814157688,1.7064,0.0521,3.5651,2.4853,1.9753
2022-12-16,6072.86,7147.35,12463164831938.486,10712579758788,1.7466,0.0674,3.5651,2.4854,1.9753
2022-12-15,6101.88,7181.5,12499876327709.906,10743988698761,1.7517,0.0697,3.566,2.4856,1.9753
2022-12-14,6096.39,7175.03,12503708210434.68,10746069674281,1.7523,0.0703,3.566,2.4856,1.9754
2022-12-13,6121.66,7204.78,12556814061645.043,10784409307383,1.7597,0.0734,3.566,2.4857,1.9759
2022-12-12,6154.81,7243.8,12604097061891.475,10823979708963,1.7663,0.0765,3.566,2.4867,1.9763
2022-12-09,6192.3,7287.92,12358969359020.123,10641339196014,1.682,0.0455,3.566,2.4877,1.9764
2022-12-08,6186.28,7280.84,12351063538769.096,10637634616229,1.6809,0.0453,3.568,2.4881,1.9764
2022-12-07,6204.01,7301.7,12375360307962.23,10660394787714,1.6844,0.046,3.568,2.4885,1.9766
2022-12-06,6211.25,7310.22,12376584632266.354,10669583613596,1.6857,0.0466,3.568,2.4892,1.9767
2022-12-05,6215.12,7314.78,12396496367053.441,10682029675119,1.6884,0.0474,3.568,2.4899,1.9778
2022-12-02,6168.01,7259.34,12280609046323.36,10567609139447,1.6727,0.0422,3.568,2.4902,1.9781
2022-12-01,6186.1,7280.63,12320062430629.59,10604642091902,1.6781,0.0438,3.5689,2.4905,1.9781
2022-11-30,6156.15,7245.37,12273443503134.854,10557098611513,1.6717,0.042,3.5689,2.491,1.9781
2022-11-29,6163.82,7254.4,12293708872313.594,10569210879663,1.6745,0.0422,3.5689,2.4915,1.9785
