日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),PE-TTM市值加权,PE-TTM 分位点,PE-TTM 80%分位点,PE-TTM 50%分位点,PE-TTM 20%分位点
2023-01-04,5952.45,7006.52,12206200051354.988,10536614342334,22.9563,0.1689,47.9231,30.7361,23.9521
2023-01-03,5955.9,7010.57,12211096586930.832,10540021120817,22.9655,0.1689,47.9231,30.7375,23.9996
2022-12-30,5864.47,6902.95,12023165951623.963,10372031563280,22.6121,0.1566,47.9231,30.74,24.0136
2022-12-29,5857.4,6894.64,12005018821222.893,10355018146629,22.578,0.1548,47.9254,30.7425,24.0136
2022-12-28,5862.1,6899.51,12023592467484.953,10366653601843,22.6129,0.1564,47.9254,30.7441,24.0284
2022-12-27,5885.66,6927.24,12057078075693.23,10400099719989,22.6759,0.1588,47.9254,30.7457,24.0349
2022-12-26,5843.26,6877.33,11967767246080.941,10313677054886,22.5079,0.1526,47.9254,30.7616,24.0581
2022-12-23,5763.35,6783.28,11817833935424.11,10182347075533,22.2259,0.1413,47.9254,30.7774,24.0808
2022-12-22,5779.06,6801.56,11854939121841.139,10209934427650,22.2957,0.1434,47.9268,30.7779,24.0808
2022-12-21,5845.84,6880.15,11992945565397.559,10322958178673,22.5553,0.153,47.9268,30.7784,24.0864
2022-12-20,5878.03,6918.05,12061945046812.912,10374619401318,22.685,0.1579,47.9268,30.7798,24.0888
2022-12-19,5936.48,6986.83,12176724528682.643,10474814157688,22.9009,0.1655,47.9268,30.7812,24.094
2022-12-16,6072.86,7147.35,12463164831938.486,10712579758788,23.4429,0.1823,47.9268,30.7894,24.1276
2022-12-15,6101.88,7181.5,12499876327709.906,10743988698761,23.512,0.1839,47.9385,30.7977,24.1276
2022-12-14,6096.39,7175.03,12503708210434.68,10746069674281,23.5192,0.1839,47.9385,30.8012,24.1358
2022-12-13,6121.66,7204.78,12556814061645.043,10784409307383,23.6191,0.1868,47.9385,30.8046,24.1366
2022-12-12,6154.81,7243.8,12604097061891.475,10823979708963,23.708,0.1897,47.9385,30.8109,24.1577
2022-12-09,6192.3,7287.92,12358969359020.123,10641339196014,23.7062,0.1892,47.9385,30.8172,24.1676
2022-12-08,6186.28,7280.84,12351063538769.096,10637634616229,23.691,0.1888,47.9468,30.8179,24.1676
2022-12-07,6204.01,7301.7,12375360307962.23,10660394787714,23.7376,0.1901,47.9468,30.8186,24.1785
2022-12-06,6211.25,7310.22,12376584632266.354,10669583613596,23.74,0.1902,47.9468,30.8194,24.1786
2022-12-05,6215.12,7314.78,12396496367053.441,10682029675119,23.7782,0.1913,47.9468,30.8202,24.2028
2022-12-02,6168.01,7259.34,12280609046323.36,10567609139447,23.5559,0.1851,47.9468,30.8265,24.2129
2022-12-01,6186.1,7280.63,12320062430629.59,10604642091902,23.6316,0.1869,47.9539,30.8328,24.2129
2022-11-30,6156.15,7245.37,12273443503134.854,10557098611513,23.5421,0.1847,47.9539,30.8363,24.227
2022-11-29,6163.82,7254.4,12293708872313.594,10569210879663,23.581,0.1852,47.9539,30.8398,24.245
2022-11-28,6055.28,7126.37,12062508090931.303,10382183771880,23.1375,0.1723,47.9539,30.8482,24.2636
2022-11-25,6087.86,7164.71,12118886835873.33,10431016939546,23.2457,0.1768,47.9539,30.8565,24.3005
2022-11-24,6120.07,7202.61,12162070415306.074,10469169459050,23.3285,0.1799,47.9832,30.8596,24.3005
2022-11-23,6115.6,7197.36,12149517526838.482,10460269538627,23.3044,0.1774,47.9832,30.8628,24.3008
2022-11-22,6125.4,7208.89,12162560852326.91,10472416355981,23.3295,0.18,47.9832,30.8665,24.3099
2022-11-21,6189.71,7284.58,12276155499461,10564506230133,23.5473,0.1837,47.9832,30.8702,24.3312
2022-11-18,6191.65,7286.86,12289742307031.57,10573279494783,23.5734,0.1838,47.9832,30.8797,24.3329
2022-11-17,6217.21,7316.47,12336037402287.84,10620074219337,23.6622,0.1856,48.0017,30.8892,24.3329
2022-11-16,6203.92,7300.84,12302569715753.238,10591391598185,23.598,0.1841,48.0017,30.8912,24.3416
