股票代码,公司,日期,财报类型,汇率,净利润率-TTM
="000905",中证500,2022-09-30,三季报,元,0.0476
="000905",中证500,2022-06-30,中报,元,0.0506
="000905",中证500,2022-03-31,一季报,元,0.0529
="000905",中证500,2021-12-31,年报,元,0.0536
="000905",中证500,2021-09-30,三季报,元,0.0584
="000905",中证500,2021-06-30,中报,元,0.0601
="000905",中证500,2021-03-31,一季报,元,0.05
="000905",中证500,2020-12-31,年报,元,0.0452
="000905",中证500,2020-09-30,三季报,元,0.0421
="000905",中证500,2020-06-30,中报,元,0.0371
="000905",中证500,2020-03-31,一季报,元,0.0437
="000905",中证500,2019-12-31,年报,元,0.0466
="000905",中证500,2019-09-30,三季报,元,0.0484
="000905",中证500,2019-06-30,中报,元,0.0492
="000905",中证500,2019-03-31,一季报,元,0.0487
="000905",中证500,2018-12-31,年报,元,0.0483
="000905",中证500,2018-09-30,三季报,元,0.057
="000905",中证500,2018-06-30,中报,元,0.0607
="000905",中证500,2018-03-31,一季报,元,0.0599
="000905",中证500,2017-12-31,年报,元,0.0594
="000905",中证500,2017-09-30,三季报,元,0.0592
="000905",中证500,2017-06-30,中报,元,0.0552
="000905",中证500,2017-03-31,一季报,元,0.0552
="000905",中证500,2016-12-31,年报,元,0.0535
="000905",中证500,2016-09-30,三季报,元,0.0522
="000905",中证500,2016-06-30,中报,元,0.0465
="000905",中证500,2016-03-31,一季报,元,0.0429
="000905",中证500,2015-12-31,年报,元,0.042
="000905",中证500,2015-09-30,三季报,元,0.0468
="000905",中证500,2015-06-30,中报,元,0.0497
="000905",中证500,2015-03-31,一季报,元,0.0506
="000905",中证500,2014-12-31,年报,元,0.0506
="000905",中证500,2014-09-30,三季报,元,0.0498
="000905",中证500,2014-06-30,中报,元,0.0508
="000905",中证500,2014-03-31,一季报,元,0.0501
="000905",中证500,2013-12-31,年报,元,0.0503
="000905",中证500,2013-09-30,三季报,元,0.0477
="000905",中证500,2013-06-30,中报,元,0.0477
="000905",中证500,2013-03-31,一季报,元,0.0444
="000905",中证500,2012-12-31,年报,元,0.042
="000905",中证500,2012-09-30,三季报,元,0.0409
="000905",中证500,2012-06-30,中报,元,0.0405
="000905",中证500,2012-03-31,一季报,元,0.0441
="000905",中证500,2011-12-31,年报,元,0.0476
="000905",中证500,2011-09-30,三季报,元,0.0547
="000905",中证500,2011-06-30,中报,元,0.0585
="000905",中证500,2011-03-31,一季报,元,0.0571
="000905",中证500,2010-12-31,年报,元,0.0564
="000905",中证500,2010-09-30,三季报,元,0.0516
="000905",中证500,2010-06-30,中报,元,0.0484
="000905",中证500,2010-03-31,一季报,元,0.0471
="000905",中证500,2009-12-31,年报,元,0.0429
="000905",中证500,2009-09-30,三季报,元,0.0291
="000905",中证500,2009-06-30,中报,元,0.0303
="000905",中证500,2009-03-31,一季报,元,0.0303
="000905",中证500,2008-12-31,年报,元,0.0344
="000905",中证500,2008-09-30,三季报,元,0.0492
="000905",中证500,2008-06-30,中报,元,0.0475
="000905",中证500,2008-03-31,一季报,元,0.0494
="000905",中证500,2007-12-31,年报,元,0.0482
="000905",中证500,2007-09-30,三季报,元,0.0447
="000905",中证500,2007-06-30,中报,元,0.0429
="000905",中证500,2007-03-31,一季报,元,0.037
="000905",中证500,2006-12-31,年报,元,0.0351

数据来源于：理杏仁网站(lixinger.com)
