股票代码,公司,日期,财报类型,汇率,杠杆倍数
="000905",中证500,2022-09-30,三季报,元,3.3102
="000905",中证500,2022-06-30,中报,元,3.3521
="000905",中证500,2022-03-31,一季报,元,3.3117
="000905",中证500,2021-12-31,年报,元,3.3227
="000905",中证500,2021-09-30,三季报,元,3.1954
="000905",中证500,2021-06-30,中报,元,3.2206
="000905",中证500,2021-03-31,一季报,元,3.0082
="000905",中证500,2020-12-31,年报,元,2.9745
="000905",中证500,2020-09-30,三季报,元,2.8273
="000905",中证500,2020-06-30,中报,元,2.8621
="000905",中证500,2020-03-31,一季报,元,2.761
="000905",中证500,2019-12-31,年报,元,2.7323
="000905",中证500,2019-09-30,三季报,元,2.735
="000905",中证500,2019-06-30,中报,元,2.7465
="000905",中证500,2019-03-31,一季报,元,2.6235
="000905",中证500,2018-12-31,年报,元,2.6406
="000905",中证500,2018-09-30,三季报,元,2.5562
="000905",中证500,2018-06-30,中报,元,2.5506
="000905",中证500,2018-03-31,一季报,元,2.5095
="000905",中证500,2017-12-31,年报,元,2.5316
="000905",中证500,2017-09-30,三季报,元,2.442
="000905",中证500,2017-06-30,中报,元,2.4404
="000905",中证500,2017-03-31,一季报,元,2.4045
="000905",中证500,2016-12-31,年报,元,2.4529
="000905",中证500,2016-09-30,三季报,元,2.3851
="000905",中证500,2016-06-30,中报,元,2.3903
="000905",中证500,2016-03-31,一季报,元,2.4356
="000905",中证500,2015-12-31,年报,元,2.4552
="000905",中证500,2015-09-30,三季报,元,2.5882
="000905",中证500,2015-06-30,中报,元,2.5394
="000905",中证500,2015-03-31,一季报,元,2.5308
="000905",中证500,2014-12-31,年报,元,2.5442
="000905",中证500,2014-09-30,三季报,元,2.5191
="000905",中证500,2014-06-30,中报,元,2.5519
="000905",中证500,2014-03-31,一季报,元,2.4784
="000905",中证500,2013-12-31,年报,元,2.4624
="000905",中证500,2013-09-30,三季报,元,2.4735
="000905",中证500,2013-06-30,中报,元,2.4317
="000905",中证500,2013-03-31,一季报,元,2.4116
="000905",中证500,2012-12-31,年报,元,2.5165
="000905",中证500,2012-09-30,三季报,元,2.4875
="000905",中证500,2012-06-30,中报,元,2.4728
="000905",中证500,2012-03-31,一季报,元,2.4439
="000905",中证500,2011-12-31,年报,元,2.4361
="000905",中证500,2011-09-30,三季报,元,2.4487
="000905",中证500,2011-06-30,中报,元,2.4515
="000905",中证500,2011-03-31,一季报,元,2.3974
="000905",中证500,2010-12-31,年报,元,2.3582
="000905",中证500,2010-09-30,三季报,元,2.3504
="000905",中证500,2010-06-30,中报,元,2.4085
="000905",中证500,2010-03-31,一季报,元,2.3659
="000905",中证500,2009-12-31,年报,元,2.344
="000905",中证500,2009-09-30,三季报,元,2.3427
="000905",中证500,2009-06-30,中报,元,2.2909
="000905",中证500,2009-03-31,一季报,元,2.2641
="000905",中证500,2008-12-31,年报,元,2.2675
="000905",中证500,2008-09-30,三季报,元,2.2589
="000905",中证500,2008-06-30,中报,元,2.2833
="000905",中证500,2008-03-31,一季报,元,2.2376
="000905",中证500,2007-12-31,年报,元,2.2798
="000905",中证500,2007-09-30,三季报,元,2.3026
="000905",中证500,2007-06-30,中报,元,2.36
="000905",中证500,2007-03-31,一季报,元,2.2682
="000905",中证500,2006-12-31,年报,元,2.3032
="000905",中证500,2006-09-30,三季报,元,2.2704
="000905",中证500,2006-06-30,中报,元,2.2468
="000905",中证500,2006-03-31,一季报,元,2.2033

数据来源于：理杏仁网站(lixinger.com)
