日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),股息率市值加权
2023-01-06,6012.82,7077.57,12313333795529.254,10629924615233,0.0184
2023-01-05,6010.46,7074.8,12317513109871.693,10632851511858,0.0184
2023-01-04,5952.45,7006.52,12206659638851.08,10537073996951,0.0185
2023-01-03,5955.9,7010.57,12211554467174.32,10540479067563,0.0185
2022-12-30,5864.47,6902.95,12023504574372.232,10372370251346,0.0188
2022-12-29,5857.4,6894.64,12005018821222.893,10355018146629,0.0188
2022-12-28,5862.1,6899.51,12023592467484.953,10366653601843,0.0188
2022-12-27,5885.66,6927.24,12057078075693.23,10400099719989,0.0188
2022-12-26,5843.26,6877.33,11967767246080.941,10313677054886,0.0189
2022-12-23,5763.35,6783.28,11817833935424.11,10182347075533,0.0191
2022-12-22,5779.06,6801.56,11854939121841.139,10209934427650,0.0191
2022-12-21,5845.84,6880.15,11992945565397.559,10322958178673,0.0189
2022-12-20,5878.03,6918.05,12061945046812.912,10374619401318,0.0187
2022-12-19,5936.48,6986.83,12176724528682.643,10474814157688,0.0186
2022-12-16,6072.86,7147.35,12463164831938.486,10712579758788,0.0181
2022-12-15,6101.88,7181.5,12499876327709.906,10743988698761,0.0184
2022-12-14,6096.39,7175.03,12503708210434.68,10746069674281,0.0184
2022-12-13,6121.66,7204.78,12556814061645.043,10784409307383,0.0184
2022-12-12,6154.81,7243.8,12604097061891.475,10823979708963,0.0184
2022-12-09,6192.3,7287.92,12358969359020.123,10641339196014,0.019
2022-12-08,6186.28,7280.84,12351063538769.096,10637634616229,0.0191
2022-12-07,6204.01,7301.7,12375360307962.23,10660394787714,0.019
2022-12-06,6211.25,7310.22,12376584632266.354,10669583613596,0.019
2022-12-05,6215.12,7314.78,12396496367053.441,10682029675119,0.019
2022-12-02,6168.01,7259.34,12280609046323.36,10567609139447,0.0192
2022-12-01,6186.1,7280.63,12320062430629.59,10604642091902,0.0191
2022-11-30,6156.15,7245.37,12273443503134.854,10557098611513,0.0192
2022-11-29,6163.82,7254.4,12293708872313.594,10569210879663,0.0191
2022-11-28,6055.28,7126.37,12062508090931.303,10382183771880,0.0195
2022-11-25,6087.86,7164.71,12118886835873.33,10431016939546,0.0194
2022-11-24,6120.07,7202.61,12162070415306.074,10469169459050,0.0194
2022-11-23,6115.6,7197.36,12149517526838.482,10460269538627,0.0194
2022-11-22,6125.4,7208.89,12162560852326.91,10472416355981,0.0193
2022-11-21,6189.71,7284.58,12276155499461,10564506230133,0.0192
2022-11-18,6191.65,7286.86,12289742307031.57,10573279494783,0.0191
2022-11-17,6217.21,7316.47,12336037402287.84,10620074219337,0.0191
2022-11-16,6203.92,7300.84,12302569715753.238,10591391598185,0.0191
2022-11-15,6236.38,7339.04,12359739244863.87,10639394093525,0.019
2022-11-14,6129.51,7213.28,12159610056515.656,10461167112182,0.0194
2022-11-11,6138.62,7224,12160580767668.256,10470156729208,0.0194
2022-11-10,6089.7,7166.33,12064807720102.27,10379316420351,0.0195
2022-11-09,6120.83,7202.97,12123981594237.354,10430040122549,0.0194
2022-11-08,6134.26,7218.77,12145111830346.752,10445036900301,0.0194
2022-11-07,6141.41,7227.19,12172931545955.406,10460794433692,0.0193
2022-11-04,6133.46,7217.84,12157857757600.344,10446965282717,0.0193
2022-11-03,5996.72,7056.92,11880669090058.963,10211543738023,0.0198
2022-11-02,5997.8,7058.19,11886317748319.758,10214106855305,0.0198
2022-11-01,5941.15,6991.52,11765025968045.55,10118639602450,0.02
2022-10-31,5807.11,6833.78,11509762146598.34,9899794068346,0.0204
2022-10-28,5781.8,6804,11481676774108.31,9875092869252,0.0205
2022-10-27,5963,7016.84,11836391080957.164,10183974634870,0.0199
2022-10-26,5971.6,7026.95,11856196396861.598,10198559405957,0.0197
2022-10-25,5869.78,6907.14,11662448459368.436,10039658038420,0.0201
2022-10-24,5896.9,6939.05,11706773673578.688,10085819154295,0.02
2022-10-21,5956.88,7009.63,11841147738211.678,10198729541239,0.0198
2022-10-20,5948.86,7000.2,11818137823539.97,10182740903536,0.0198
2022-10-19,5972.72,7028.27,11869598369771.03,10229838083104,0.0197
2022-10-18,6035.67,7102.35,11981924355701.338,10331402375165,0.0195
2022-10-17,6015.6,7078.72,11932990478384.99,10294267236541,0.0196
2022-10-14,5973.44,7029.12,11849670160806.682,10200913752120,0.0198
2022-10-13,5830.34,6860.72,11575727235228.35,9964532783414,0.0203
2022-10-12,5820.45,6849.09,11551184995684.463,9943406854789,0.0203
2022-10-11,5684.51,6689.12,11289524624816.941,9726225841506,0.0209
2022-10-10,5635.71,6631.7,11200743519544.299,9647235502872,0.0211
2022-09-30,5714.06,6723.9,11340777159968.6,9760613449254,0.0209
2022-09-29,5771.88,6791.94,11435698979379.824,9842992475279,0.0207
2022-09-28,5769.52,6788.98,11447664349009.09,9847888205987,0.0207
2022-09-27,5920.05,6965.98,11715703440741.432,10081848987260,0.0202
2022-09-26,5806.32,6831.15,11493912646306.254,9880183637569,0.0206
2022-09-23,5889.6,6929.14,11653341015858.234,10017839230443,0.0203
2022-09-22,5965.89,7018.88,11805349713122.055,10143737155975,0.0201
2022-09-21,5978.58,7033.82,11833330890456.088,10168176318160,0.02
2022-09-20,5958.29,7009.95,11778242684426.309,10122940389967,0.0201
2022-09-19,5913.15,6956.84,11697855872358.416,10055519334864,0.0203
2022-09-16,5954.5,7005.49,11766359819613.49,10113179215301,0.0201
2022-09-15,6107.8,7185.84,12076532899257.984,10380334005065,0.0196
2022-09-14,6249.96,7353.1,12334307581274.078,10596850618400,0.0192
2022-09-13,6300.42,7412.47,12424661873177.564,10677109835940,0.0191
2022-09-09,6316.97,7431.49,12465527890856.045,10705381816712,0.019
2022-09-08,6272.58,7379.26,12376366962083.986,10624667297312,0.0192
2022-09-07,6301.56,7413.36,12421834613334.205,10661500739191,0.0191
2022-09-06,6291.57,7401.6,12406139849398.11,10650286239040,0.0191
2022-09-05,6182.65,7273.46,12195257603731.674,10469341005887,0.0194
2022-09-02,6149.43,7234.38,12111853604728.777,10400059861993,0.0196
2022-09-01,6126.77,7207.73,12060119440200.457,10365638361586,0.0197
2022-08-31,6155.75,7241.82,12113471697893.002,10411845037654,0.0196
2022-08-30,6285.93,7394.88,12354936765592.496,10616192506084,0.0191
2022-08-29,6310.4,7423.67,12442433005362.605,10663939838505,0.019
2022-08-26,6298.37,7409.52,12417890321157.87,10637701785431,0.0192
2022-08-25,6322.7,7437.85,12464840614279.45,10666545621893,0.019
2022-08-24,6284.58,7392.57,12374413790253.885,10581832645843,0.0191
2022-08-23,6466.4,7606.46,12714259505601.73,10866961497874,0.0186
2022-08-22,6472.68,7613.77,12715157071068.605,10870449050780,0.0186
2022-08-19,6391.72,7518.51,12557068810808.1,10734201114759,0.0188
2022-08-18,6468.81,7609.08,12677779862065.95,10837707728693,0.0187
2022-08-17,6493.5,7637,12728802701182.045,10858650415934,0.0186
2022-08-16,6465.19,7603.66,12671666552918.586,10808681605014,0.0187
2022-08-15,6442.81,7576.93,12617336668179.328,10768057658253,0.0187
2022-08-12,6420.85,7551.11,12581251888799.996,10735517034869,0.0188
2022-08-11,6439.36,7572.41,12605586879612.688,10747953457996,0.0188
2022-08-10,6322.06,7434.33,12380577572209.74,10558016495282,0.0191
2022-08-09,6341.48,7457.17,12418286666288.275,10594717801491,0.019
2022-08-08,6323.07,7435.52,12385862456552.922,10563192680276,0.0191
2022-08-05,6270.51,7373.01,12285571348167.564,10438247870166,0.0193
2022-08-04,6158.73,7241.01,12081467689721.621,10269146563840,0.0196
2022-08-03,6124.31,7200.22,12016264678966.984,10215250769752,0.0197
2022-08-02,6170,7253.67,12116643519595.635,10295960690521,0.0195
2022-08-01,6347.22,7461.22,12462420164806.766,10580727318437,0.019
