字段1_文本,字段1_链接,字段2,字段3,字段4,字段5_文本,字段5_链接,字段6
350亿资金去哪了？股票型ETF连续两周净流出 什么情况？,http://finance.eastmoney.com/a/202302232644651788.html,2023-02-23 10:07:21 - ,36亿元，中证500ETF、沪深300ETF，以及中证1000ETF等宽基类产品的资金净流出额靠前。 其中，南方中证500ETF是上周净流出额最多的股票型ETF，基金份额减少了6.01亿份，按区间成交均价计算，约净流出38.31亿元；紧随其后，华泰柏瑞沪深300ETF、南方中证1000ETF分别遭遇净赎回约34,沪深300,http://finance.eastmoney.com/a/202302232644651788.html,http://finance.eastmoney.com/a/202302232644651788.html,
你恐慌我贪婪！这个板块调整1个月后 主力再度进场抢筹（附名单）,http://finance.eastmoney.com/a/202302252646707538.html,2023-02-25 11:17:02 - ,27亿份、2.7亿份和0.27亿份；而中证500ETF、沪深300ETF则分别减少了8.54亿份和7.84亿份。 整体看来，本周市场主要股指涨跌互现，部分资金高抛离场，5只指数ETF本周合计净流出约67亿元，其中中证500ETF、沪深300ETF分别净流出54亿元和32亿元。 对于近期市场走势,沪深300,http://finance.eastmoney.com/a/202302252646707538.html,http://finance.eastmoney.com/a/202302252646707538.html,
5只股票型ETF份额增加超1亿份，易方达沪深300医药ETF增加4.09亿份,http://fund.eastmoney.com/a/202302242645730922.html,2023-02-24 09:06:44 - ,南方财经2月24日电，据东方财富Choice数据统计，昨日，共5只股票型ETF当日份额增加超1亿份，易方达沪深300医药ETF增加4.09亿份，国联安中证半导体ETF增加2.84亿份。,沪深300,http://fund.eastmoney.com/a/202302242645730922.html,http://fund.eastmoney.com/a/202302242645730922.html,沪深300
ETF追踪：昨日ETF净赎回36.1亿元 资金减仓中证500ETF,http://finance.eastmoney.com/a/202302242645950268.html,2023-02-24 13:26:13 - ,04亿元。 中证500ETF遭赎回 数据还显示，昨日净赎回金额最多的场内股票ETF为中证500ETF，赎回金额14.32亿元，沪深300ETF紧随其后，赎回金额6.75亿元。 机构看后市 光大证券认为，从内因看，政策环境、经济复苏、流动性预期等仍然有利于行情向好。但前期指数止跌反弹后市场未出现明显的增量资金,沪深300,http://finance.eastmoney.com/a/202302242645950268.html,http://finance.eastmoney.com/a/202302242645950268.html,
发生了什么？人民币贬值 外资净卖出 这一板块却逆势拉升！,http://finance.eastmoney.com/a/202302242645932695.html,2023-02-24 12:31:01 - ,今日早盘，A股整体震荡调整，白马蓝筹股表现较弱，上证50、沪深300指数均跌超1%。 盘面上，国防军工、造纸、数字货币、IT设备等板块逆势活跃，酿酒、酒店餐饮、钙钛矿电池、有色等板块跌幅居前。两市半日成交4577亿，个股跌多涨少，超3600股飘绿。北向资金净卖出37.83亿元,沪深300,http://finance.eastmoney.com/a/202302242645932695.html,http://finance.eastmoney.com/a/202302242645932695.html,
德邦证券给予西藏药业买入评级，新活素快速放量，被低估的心衰生物药龙头,http://finance.eastmoney.com/a/202302242645959939.html,2023-02-24 13:34:00 - ,4)21-22年公司利润主要系资产减值和新冠疫苗等拖累，预计2023年业绩将恢复高增长；5)依托股东强大销售渠道，核心品种快速放量。风险提示：市场竞争加剧的风险；简易续约谈判价格不及预期的风险；销售不及预沪深300对比。 AI点评：西藏药业近一个月获得2份券商研报关注，买入2家。,沪深300,http://finance.eastmoney.com/a/202302242645959939.html,http://finance.eastmoney.com/a/202302242645959939.html,
两市ETF两融余额较上一日增加3.31亿元,http://finance.eastmoney.com/a/202302232644549894.html,2023-02-23 09:22:35 - ,47512660国泰中证军工ETF6298.97419.77159995华夏国证半导体芯片ETF3595.88-141.34512010易方达沪深300医药ETF2755.10170.14510330华夏沪深300ETF2289.75-137.41512760国泰CES半导体芯片行业ETF7246.93148.69512800华宝中证银行ETF1523,沪深300,http://finance.eastmoney.com/a/202302232644549894.html,http://finance.eastmoney.com/a/202302232644549894.html,
大消费类基金表现出彩 机构布局“超预期”复苏方向,http://finance.eastmoney.com/a/202302252646363337.html,2023-02-25 06:41:35 - ,申万菱信医药先锋股票、财通资管消费升级一年持有期混合等涨逾6%。 近期资金对大消费领域依然保持热情。数据显示，2月以来，多只相关领域的ETF份额实现较大增长。比如易方达沪深300医药ETF份额增长了13.23亿份，华宝中证医疗ETF、鹏华中证酒ETF和银华中证创新药产业ETF份额也分别增长逾9亿份、7亿份和7亿份,沪深300,http://finance.eastmoney.com/a/202302252646363337.html,http://finance.eastmoney.com/a/202302252646363337.html,
丘栋荣、周蔚文等明星基金经理调仓换股大曝光！买了这些股,http://finance.eastmoney.com/a/202302232644592951.html,2023-02-23 09:34:16 - ,不盲目跟风、不抱团、奉行“低估值+高回报”的投资理念，被称为深度价值型选手。在2022年沪深300指数跌超20%的情况下，中庚小盘价值全年收益率为-3.15%，表现相对突出。今年以来，沪深300指数涨超7%，中庚小盘价值的收益率达13.39%。 在基金四季报中，丘栋荣表示，过去一年多,沪深300,http://finance.eastmoney.com/a/202302232644592951.html,http://finance.eastmoney.com/a/202302232644592951.html,
数据复盘｜主力加仓电力设备、非银金融等行业 龙虎榜机构抢筹钧达股份、鸿博股份等,http://finance.eastmoney.com/a/202302232645035551.html,2023-02-23 17:56:14 - ,资金流向 1.主力资金 Wind统计显示，沪深两市主力资金今日净流出271.33亿元。其中，创业板主力资金净流出70.93亿元，沪深300成分股主力资金净流出51.32亿元，科创板主力资金净流出2.29亿元。 从行业板块来看，申万所属的31个一级行业，今日仅有电力设备、非银金融、煤炭3个行业板块主力资金呈现净流入,沪深300,http://finance.eastmoney.com/a/202302232645035551.html,http://finance.eastmoney.com/a/202302232645035551.html,
两市ETF两融余额较上一日增加424.29万元,http://stock.eastmoney.com/a/202302242645765626.html,2023-02-24 09:27:39 - ,48515220国泰中证煤炭ETF3385.83304.88510050华夏上证50ETF12729.44-379.74510300华泰柏瑞沪深300ETF42100.44282.95159919嘉实沪深300ETF3349.39-269.78515250富国中证智能汽车主题ETF1566.75232.83159939广发中证全指信息技术ETF48,沪深300,http://stock.eastmoney.com/a/202302242645765626.html,http://stock.eastmoney.com/a/202302242645765626.html,
涨嗨了！超97%取得正收益！这类基金火了,http://fund.eastmoney.com/a/202302242646215910.html,2023-02-25 00:00:18 - ,基于公募基金重仓股构建的组合从长期来看，也能够战胜基准。 公募量化市场行情可期 华宝基金表示，现在是布局权益市场的好时机。截至2022年12月31日，沪深300指数的PE(TTM)为11.32倍，PB为1.34倍，估值历经一年的调整后处于历史底部区间，安全边际较充足。此外，A股相对美股更为低估，具有配置吸引力,沪深300,http://fund.eastmoney.com/a/202302242646215910.html,http://fund.eastmoney.com/a/202302242646215910.html,
上交所：2月23日为2月到期的50ETF/300ETF/500ETF期权合约行权交收日,http://finance.eastmoney.com/a/202302232644704370.html,2023-02-23 11:02:54 - ,2月22日，上交所公告称，2023年2月到期的50ETF期权合约、300ETF期权合约、500ETF期权合约行权交收日为2023年2月23日，届时该期权合约将进行行权交收。请投资者根据行权与指派结果在2023年2月23日期权交易收盘前准备好足额合约标的或资金，履行行权交收义务,,http://finance.eastmoney.com/a/202302232644704370.html,http://finance.eastmoney.com/a/202302232644704370.html,
