日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),PB市值加权,PB 分位点,PB 80%分位点,PB 50%分位点,PB 20%分位点
2023-01-04,3892.95,5280.88,47744701141016.83,36147993871793,1.3486,0.0874,2.4334,1.6863,1.4505
2023-01-03,3887.9,5274.03,47587182974913.96,36018380748725,1.3441,0.0814,2.4334,1.6864,1.4505
2022-12-30,3871.63,5251.97,47351994784559.03,35915131424193,1.3375,0.074,2.4335,1.6864,1.4505
2022-12-29,3856.7,5231.71,47159844375678,35755311733436,1.3321,0.0687,2.4335,1.6866,1.4508
2022-12-28,3871.26,5251.47,47444195298923.62,35933993303209,1.3401,0.0766,2.4335,1.6867,1.4509
2022-12-27,3887.85,5273.97,47575013950759.27,35983500412060,1.3438,0.0803,2.4335,1.6867,1.4511
2022-12-26,3843.49,5209.8,47012577280720.555,35575003046159,1.3269,0.0643,2.4335,1.6867,1.4513
2022-12-23,3828.22,5188.75,46887489036427.64,35504102114280,1.3233,0.0615,2.4339,1.6867,1.4513
2022-12-22,3836.03,5199.34,46965697844193.28,35551421852880,1.3257,0.0634,2.4339,1.6867,1.4515
2022-12-21,3830.54,5191.9,46863054369190.33,35481842439935,1.3232,0.0613,2.4339,1.6868,1.4516
2022-12-20,3829.02,5189.84,46817359826639.62,35445100194437,1.3219,0.0592,2.4339,1.6868,1.452
2022-12-19,3893.22,5276.86,47490812146785.164,35995799163258,1.3409,0.0767,2.4339,1.6868,1.4521
2022-12-16,3954.23,5359.54,48284985563122.77,36535495992724,1.3634,0.1048,2.434,1.6868,1.4521
2022-12-15,3951.99,5356.51,48178993959963.87,36452092921108,1.3604,0.0997,2.434,1.687,1.4521
2022-12-14,3954.89,5360.44,48316626137025.34,36532334879324,1.3643,0.106,2.434,1.6871,1.4522
2022-12-13,3945.68,5344.36,48242099963526.01,36433627394507,1.3609,0.1003,2.434,1.6872,1.4524
2022-12-12,3953.44,5354.87,48224866912822.75,36448384411015,1.3604,0.0998,2.434,1.6872,1.4525
2022-12-09,3998.24,5415.56,48360001259993.18,36655474719731,1.3599,0.0994,2.4341,1.6873,1.4525
2022-12-08,3959.18,5362.64,47994307897133.34,36356697683688,1.3496,0.0875,2.4341,1.6873,1.4529
2022-12-07,3958.44,5361.64,48004001067020.02,36342856300767,1.3499,0.0878,2.4341,1.6876,1.4529
2022-12-06,3968.2,5374.86,48266658618156.24,36486500683069,1.3573,0.0964,2.4341,1.688,1.4532
2022-12-05,3946.88,5345.92,48067192089024.74,36294669215620,1.3516,0.0894,2.4341,1.6881,1.4532
2022-12-02,3870.95,5243.08,46972601998254.625,35554853423298,1.3208,0.0575,2.4346,1.6882,1.4532
2022-12-01,3894.77,5275.34,47274674757263.67,35767220864980,1.3295,0.066,2.4346,1.6883,1.4539
2022-11-30,3853.04,5218.82,46984000594954.17,35486945589743,1.3213,0.0578,2.4346,1.6883,1.4544
2022-11-29,3848.42,5212.57,46828370995268.02,35428326404253,1.3171,0.0539,2.4346,1.6884,1.4545
2022-11-28,3733.24,5056.56,45601006876398.48,34357697276342,1.2825,0.0326,2.4346,1.6885,1.4545
2022-11-25,3775.78,5114.02,46064507854330.38,34689752097685,1.2956,0.042,2.4351,1.6887,1.4545
2022-11-24,3756.81,5088.33,45608913779474.945,34427254760208,1.2827,0.0327,2.4351,1.6889,1.4546
2022-11-23,3773.53,5110.98,45807887811418.06,34583930804395,1.2883,0.0369,2.4351,1.6889,1.4549
2022-11-22,3769.57,5105.59,45703068956147.55,34486985949617,1.2855,0.0343,2.4351,1.6889,1.4554
2022-11-21,3769.13,5104.98,45439342127208.27,34364001488527,1.2781,0.0299,2.4351,1.6889,1.4556
2022-11-18,3801.57,5148.92,45783554258441.56,34642669964429,1.2878,0.036,2.4356,1.6889,1.4556
2022-11-17,3818.66,5172,45947221222791.45,34722332996844,1.2924,0.0378,2.4356,1.6889,1.4557
2022-11-16,3834.39,5193.29,46128436159126.68,34869369455307,1.2978,0.0414,2.4356,1.6889,1.4559
2022-11-15,3865.97,5236.07,46431550267713.14,35099965038490,1.3064,0.0449,2.4356,1.6891,1.4559
2022-11-14,3794.02,5138.61,45749100720948.05,34539226419690,1.2872,0.0351,2.4356,1.6893,1.4562
2022-11-11,3788.44,5131.06,45750139571066.8,34492740566858,1.2872,0.0351,2.4369,1.6896,1.4562
2022-11-10,3685.69,4991.89,44650947150657.88,33613534621718,1.2567,0.0206,2.4369,1.6899,1.4565
2022-11-09,3714.27,5030.6,44884014649708.43,33797031436102,1.2633,0.0225,2.4369,1.6901,1.457
2022-11-08,3749.33,5077.71,45247715995720.34,34094044749012,1.2734,0.0271,2.4369,1.6903,1.4576
2022-11-07,3775.3,5112.88,45494059407056.91,34306102850621,1.2804,0.0304,2.4369,1.6903,1.4576
2022-11-04,3767.17,5101.88,45398478558685.695,34187303013503,1.2777,0.0288,2.4371,1.6903,1.4576
2022-11-03,3647.9,4940.34,44132786908278.695,33179818169540,1.2421,0.014,2.4371,1.6904,1.4577
2022-11-02,3677.81,4980.85,44458837934602.5,33415709868863,1.2512,0.019,2.4371,1.6905,1.4577
2022-11-01,3634.17,4921.76,44024042168561.84,33040290259975,1.239,0.0129,2.4371,1.6905,1.4581
2022-10-31,3508.7,4751.83,42754883410858.19,32032559110055,1.2033,0.0066,2.4371,1.6906,1.4581
