日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),PE-TTM市值加权,PE-TTM 分位点,PE-TTM 80%分位点,PE-TTM 50%分位点,PE-TTM 20%分位点
2023-01-04,3892.95,5280.88,47744701141016.80 ,36147993871793.00 ,11.4159,0.2195,17.3527,13.4576,11.258
2023-01-03,3887.9,5274.03,47587182974913.90 ,36018380748725.00 ,11.3783,0.2161,17.3527,13.4582,11.258
2022-12-30,3871.63,5251.97,47351994784559.00 ,35915131424193.00 ,11.3221,0.2092,17.3668,13.4588,11.2497
2022-12-29,3856.7,5231.71,47159844375678.00 ,35755311733436.00 ,11.2761,0.2041,17.3668,13.4601,11.2497
2022-12-28,3871.26,5251.47,47444195298923.60 ,35933993303209.00 ,11.3441,0.2114,17.3668,13.4615,11.2497
2022-12-27,3887.85,5273.97,47575013950759.20 ,35983500412060.00 ,11.3754,0.2151,17.3668,13.4621,11.2497
2022-12-26,3843.49,5209.8,47012577280720.50 ,35575003046159.00 ,11.2409,0.1992,17.3668,13.4628,11.2497
2022-12-23,3828.22,5188.75,46887489036427.60 ,35504102114280.00 ,11.211,0.195,17.4181,13.4632,11.2497
2022-12-22,3836.03,5199.34,46965697844193.20 ,35551421852880.00 ,11.2297,0.196,17.4181,13.4637,11.258
2022-12-21,3830.54,5191.9,46863054369190.30 ,35481842439935.00 ,11.2051,0.1947,17.4181,13.4637,11.2585
2022-12-20,3829.02,5189.84,46817359826639.60 ,35445100194437.00 ,11.1942,0.1924,17.4181,13.4638,11.2593
2022-12-19,3893.22,5276.86,47490812146785.10 ,35995799163258.00 ,11.3552,0.2122,17.4181,13.4641,11.2605
2022-12-16,3954.23,5359.54,48284985563122.70 ,36535495992724.00 ,11.5451,0.2308,17.4587,13.4645,11.2593
2022-12-15,3951.99,5356.51,48178993959963.80 ,36452092921108.00 ,11.5198,0.2283,17.4587,13.4652,11.2593
2022-12-14,3954.89,5360.44,48316626137025.30 ,36532334879324.00 ,11.5527,0.2326,17.4587,13.466,11.2593
2022-12-13,3945.68,5344.36,48242099963526.00 ,36433627394507.00 ,11.5349,0.2296,17.4587,13.4685,11.2593
2022-12-12,3953.44,5354.87,48224866912822.70 ,36448384411015.00 ,11.5308,0.2289,17.4587,13.4711,11.2593
2022-12-09,3998.24,5415.56,48360001259993.10 ,36655474719731.00 ,11.6355,0.2444,17.459,13.4711,11.2585
2022-12-08,3959.18,5362.64,47994307897133.30 ,36356697683688.00 ,11.5475,0.2309,17.459,13.4712,11.2585
2022-12-07,3958.44,5361.64,48004001067020.00 ,36342856300767.00 ,11.5498,0.2314,17.459,13.4715,11.2585
2022-12-06,3968.2,5374.86,48266658618156.20 ,36486500683069.00 ,11.613,0.2385,17.459,13.4719,11.2585
2022-12-05,3946.88,5345.92,48067192089024.70 ,36294669215620.00 ,11.565,0.2325,17.459,13.4721,11.2585
2022-12-02,3870.95,5243.08,46972601998254.60 ,35554853423298.00 ,11.3016,0.2074,17.4962,13.4722,11.258
2022-12-01,3894.77,5275.34,47274674757263.60 ,35767220864980.00 ,11.3743,0.2137,17.4962,13.4729,11.258
2022-11-30,3853.04,5218.82,46984000594954.10 ,35486945589743.00 ,11.3044,0.2075,17.4962,13.4736,11.258
2022-11-29,3848.42,5212.57,46828370995268.00 ,35428326404253.00 ,11.2669,0.2031,17.4962,13.4743,11.258
2022-11-28,3733.24,5056.56,45601006876398.40 ,34357697276342.00 ,10.9716,0.1665,17.4962,13.4751,11.258
2022-11-25,3775.78,5114.02,46064507854330.30 ,34689752097685.00 ,11.0832,0.1801,17.4979,13.4753,11.258
2022-11-24,3756.81,5088.33,45608913779474.90 ,34427254760208.00 ,10.9735,0.1666,17.4979,13.4755,11.2585
2022-11-23,3773.53,5110.98,45807887811418.00 ,34583930804395.00 ,11.0214,0.1727,17.4979,13.4759,11.2593
2022-11-22,3769.57,5105.59,45703068956147.50 ,34486985949617.00 ,10.9962,0.1688,17.4979,13.4763,11.2605
2022-11-21,3769.13,5104.98,45439342127208.20 ,34364001488527.00 ,10.9327,0.1613,17.4979,13.4765,11.2608
2022-11-18,3801.57,5148.92,45783554258441.50 ,34642669964429.00 ,11.0156,0.1714,17.5142,13.4767,11.2608
2022-11-17,3818.66,5172,45947221222791.40 ,34722332996844.00 ,11.0549,0.1757,17.5142,13.4771,11.2609
2022-11-16,3834.39,5193.29,46128436159126.60 ,34869369455307.00 ,11.0985,0.1808,17.5142,13.4776,11.2613
2022-11-15,3865.97,5236.07,46431550267713.10 ,35099965038490.00 ,11.1715,0.1879,17.5142,13.4777,11.2643
2022-11-14,3794.02,5138.61,45749100720948.00 ,34539226419690.00 ,11.0073,0.1699,17.5142,13.4779,11.2649
2022-11-11,3788.44,5131.06,45750139571066.80 ,34492740566858.00 ,11.0075,0.17,17.5239,13.4785,11.2649
2022-11-10,3685.69,4991.89,44650947150657.80 ,33613534621718.00 ,10.7458,0.1466,17.5239,13.4791,11.2651
2022-11-09,3714.27,5030.6,44884014649708.40 ,33797031436102.00 ,10.8019,0.1495,17.5239,13.4801,11.2657
2022-11-08,3749.33,5077.71,45247715995720.30 ,34094044749012.00 ,10.8894,0.1563,17.5239,13.4811,11.2659
2022-11-07,3775.3,5112.88,45494059407056.90 ,34306102850621.00 ,10.9487,0.1626,17.5239,13.4811,11.2667
2022-11-04,3767.17,5101.88,45398478558685.60 ,34187303013503.00 ,10.9257,0.1603,17.5384,13.4811,11.2667
2022-11-03,3647.9,4940.34,44132786908278.60 ,33179818169540.00 ,10.6211,0.1367,17.5384,13.4814,11.272
2022-11-02,3677.81,4980.85,44458837934602.50 ,33415709868863.00 ,10.6996,0.1415,17.5384,13.4817,11.2741
2022-11-01,3634.17,4921.76,44024042168561.80 ,33040290259975.00 ,10.5949,0.1356,17.5384,13.4821,11.2749
2022-10-31,3508.7,4751.83,42754883410858.10 ,32032559110055.00 ,10.2895,0.1094,17.5384,13.4825,11.2801
2022-10-28,3541.33,4795.92,43265510318975.60 ,32429988482421.00 ,10.3827,0.1165,17.5511,13.4827,11.2801
2022-10-27,3631.14,4917.56,44153677827873.90 ,33124993522925.00 ,10.6394,0.1371,17.5511,13.4829,11.2805
2022-10-26,3656.9,4952.44,44378464132586.80 ,33360477495053.00 ,10.6953,0.1402,17.5511,13.4837,11.2816
2022-10-25,3627.45,4912.56,44168335613577.20 ,33203422855153.00 ,10.6744,0.1388,17.5511,13.4845,11.2824
2022-10-24,3633.37,4920.58,44249685905381.50 ,33265932567288.00 ,10.7087,0.141,17.5511,13.4845,11.2824
2022-10-21,3742.89,5068.89,45396740723093.70 ,34192345724998.00 ,11.0027,0.1666,17.5549,13.4845,11.2824
2022-10-20,3754.93,5085.05,45489259834544.40 ,34273223843729.00 ,11.0334,0.1701,17.5549,13.4857,11.2833
2022-10-19,3776.53,5111.46,45654096206059.10 ,34396557497561.00 ,11.0793,0.1749,17.5549,13.4869,11.2846
2022-10-18,3838.27,5195.02,46268066191828.30 ,34933788811312.00 ,11.2283,0.1904,17.5549,13.4871,11.2848
2022-10-17,3846.41,5206.04,46393597958226.90 ,35043295901726.00 ,11.2609,0.1956,17.5549,13.4873,11.2863
2022-10-14,3842.47,5200.7,46365967829881.20 ,35030953576282.00 ,11.2608,0.1954,17.57,13.4874,11.2863
2022-10-13,3752.67,5079.17,45584513796813.10 ,34356280269591.00 ,11.071,0.1739,17.57,13.4875,11.2935
2022-10-12,3784.31,5121.38,45949674256413.00 ,34659384377717.00 ,11.1597,0.1835,17.57,13.4881,11.2967
2022-10-11,3727.69,5044.76,45383455096733.40 ,34241689983469.00 ,11.0221,0.1693,17.57,13.4887,11.297
2022-10-10,3720.94,5035.62,45365640114255.30 ,34215684074326.00 ,11.0178,0.1688,17.57,13.4899,11.2971
2022-09-30,3804.89,5149.23,46091170046070.70 ,34890462664162.00 ,11.1959,0.1874,17.5735,13.491,11.2971
2022-09-29,3827.14,5179.35,46235070433742.90 ,34983459093535.00 ,11.2309,0.1903,17.5735,13.4915,11.2973
2022-09-28,3828.71,5181.47,46285493174554.10 ,34952009676866.00 ,11.2431,0.1927,17.5735,13.4919,11.2994
2022-09-27,3892.3,5266.87,46866099878485.70 ,35396520182999.00 ,11.3842,0.2073,17.5735,13.4934,11.3058
2022-09-26,3836.68,5191.61,46280618233928.40 ,34942196075292.00 ,11.2419,0.1926,17.5735,13.4949,11.3058
2022-09-23,3856.02,5217.65,46676099132383.60 ,35174853170941.00 ,11.338,0.2025,17.5885,13.4964,11.3058
2022-09-22,3869.34,5235.68,46636283469218.70 ,35228070389934.00 ,11.3283,0.2014,17.5885,13.498,11.3058
2022-09-21,3903.73,5282.12,46894057536375.80 ,35455970656562.00 ,11.391,0.208,17.5885,13.498,11.3058
2022-09-20,3932.84,5321.5,47135575949162.80 ,35665592411237.00 ,11.4496,0.2121,17.5885,13.4981,11.3058
2022-09-19,3928,5314.39,47160966885376.30 ,35690569506850.00 ,11.4558,0.2133,17.5885,13.4984,11.3058
2022-09-16,3932.68,5320.11,47153186904852.90 ,35625223857908.00 ,11.4539,0.2129,17.6162,13.4987,11.2994
2022-09-15,4027.12,5447.86,48233313835522.70 ,36459358004956.00 ,11.7163,0.2464,17.6162,13.5009,11.2994
