股票代码,公司,日期,财报类型,汇率,杠杆倍数
000300,沪深300,2022/9/30,三季报,元,7.4766
000300,沪深300,2022/6/30,中报,元,7.5236
000300,沪深300,2022/3/31,一季报,元,7.5481
000300,沪深300,2021/12/31,年报,元,7.4338
000300,沪深300,2021/9/30,三季报,元,7.7018
000300,沪深300,2021/6/30,中报,元,7.8333
000300,沪深300,2021/3/31,一季报,元,7.7172
000300,沪深300,2020/12/31,年报,元,7.6578
000300,沪深300,2020/9/30,三季报,元,7.8258
000300,沪深300,2020/6/30,中报,元,7.9245
000300,沪深300,2020/3/31,一季报,元,7.5664
000300,沪深300,2019/12/31,年报,元,7.4141
000300,沪深300,2019/9/30,三季报,元,7.51
000300,沪深300,2019/6/30,中报,元,7.7472
000300,沪深300,2019/3/31,一季报,元,7.6445
000300,沪深300,2018/12/31,年报,元,7.6328
000300,沪深300,2018/9/30,三季报,元,7.7829
000300,沪深300,2018/6/30,中报,元,7.8799
000300,沪深300,2018/3/31,一季报,元,7.8518
000300,沪深300,2017/12/31,年报,元,7.8825
000300,沪深300,2017/9/30,三季报,元,8.1238
000300,沪深300,2017/6/30,中报,元,8.2985
000300,沪深300,2017/3/31,一季报,元,8.0803
000300,沪深300,2016/12/31,年报,元,8.1407
000300,沪深300,2016/9/30,三季报,元,7.9282
000300,沪深300,2016/6/30,中报,元,8.1047
000300,沪深300,2016/3/31,一季报,元,7.8601
000300,沪深300,2015/12/31,年报,元,7.8681
000300,沪深300,2015/9/30,三季报,元,8.1344
000300,沪深300,2015/6/30,中报,元,8.3077
000300,沪深300,2015/3/31,一季报,元,8.0784
000300,沪深300,2014/12/31,年报,元,8.195
000300,沪深300,2014/9/30,三季报,元,8.4466
000300,沪深300,2014/6/30,中报,元,8.7595
000300,沪深300,2014/3/31,一季报,元,8.5281
000300,沪深300,2013/12/31,年报,元,8.4951
000300,沪深300,2013/9/30,三季报,元,8.572
000300,沪深300,2013/6/30,中报,元,8.7552
000300,沪深300,2013/3/31,一季报,元,8.5754
000300,沪深300,2012/12/31,年报,元,8.5342
000300,沪深300,2012/9/30,三季报,元,8.6118
000300,沪深300,2012/6/30,中报,元,8.8382
000300,沪深300,2012/3/31,一季报,元,8.5807
000300,沪深300,2011/12/31,年报,元,8.4322
000300,沪深300,2011/9/30,三季报,元,8.4472
000300,沪深300,2011/6/30,中报,元,8.5912
000300,沪深300,2011/3/31,一季报,元,8.3644
000300,沪深300,2010/12/31,年报,元,8.1523
000300,沪深300,2010/9/30,三季报,元,8.4252
000300,沪深300,2010/6/30,中报,元,7.9202
000300,沪深300,2010/3/31,一季报,元,7.7423
000300,沪深300,2009/12/31,年报,元,7.6871
000300,沪深300,2009/9/30,三季报,元,7.8241
000300,沪深300,2009/6/30,中报,元,7.9808
000300,沪深300,2009/3/31,一季报,元,7.6174
000300,沪深300,2008/12/31,年报,元,7.1454
000300,沪深300,2008/9/30,三季报,元,7.0745
000300,沪深300,2008/6/30,中报,元,6.6216
000300,沪深300,2008/3/31,一季报,元,6.3667
000300,沪深300,2007/12/31,年报,元,6.2909
000300,沪深300,2007/9/30,三季报,元,7.6567
000300,沪深300,2007/6/30,中报,元,7.9024
000300,沪深300,2007/3/31,一季报,元,7.2834
000300,沪深300,2006/12/31,年报,元,7.2555
000300,沪深300,2006/9/30,三季报,元,5.502
000300,沪深300,2006/6/30,中报,元,3.8266
000300,沪深300,2006/3/31,一季报,元,3.614
000300,沪深300,2005/12/31,年报,元,3.6208
000300,沪深300,2005/9/30,三季报,元,3.5627
000300,沪深300,2005/6/30,中报,元,3.5652
000300,沪深300,2005/3/31,一季报,元,3.4062
000300,沪深300,2004/12/31,年报,元,3.389
000300,沪深300,2004/9/30,三季报,元,3.3226
000300,沪深300,2004/6/30,中报,元,3.3262
,,,,,
数据来源于：理杏仁网站(lixinger.com),,,,,
